Sample in Buffer,Sample in Window,TRIGGER,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len_1[0:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len_2[2:1],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len[3:3],aquila_soc_i/aquila_0/inst/aquila_core/D_Cache/S_nxt[3:0],aquila_soc_i/aquila_0/inst/aquila_core/D_Cache/S[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/allocator/FREE_ST[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_addr[31:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_datain[255:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_dataout[255:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/allocator/MAIN_ST[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_size[7:0],aquila_soc_i/aquila_0/inst/aquila_core/dcache_is_flushing,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_done,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_rw,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_strobe,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/free_request,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/free_request_o,u_ila_0_stall_i
688,688,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
689,689,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
690,690,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
691,691,0,0,0,0,7,6,0,8001c080,d808490b4d1d2a81f9c898b9452b7241dcfb57a47b0be007e47b0f69eefb8327,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,1,1,1,0,0,1
692,692,0,0,0,0,6,7,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,0,0,0,1
693,693,0,0,0,0,6,6,0,00000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,"IDLE",08,1,0,0,0,0,0,1
694,694,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
695,695,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
696,696,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
697,697,0,0,0,0,6,6,0,8001c0a0,0000000000000000000000000000000000000000000000000000000000000000,692072657265746e747075720000000a65707553736976727420726f72656d69,"IDLE",08,1,0,1,1,0,0,1
